Date;SO2;NO2;O3;CO;PM10;PM2.5;Station code;Address;Latitude;Longitude
2017-02-20;0.003;0.018;0.032;0.375;37.167;19.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-21;0.004;0.048;0.013;0.671;41.75;28.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-22;0.003;0.045;0.008;0.646;35.958;28.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-23;0.004;0.017;0.035;0.375;31.875;20.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-24;0.005;0.033;0.025;0.458;27.0;16.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-25;0.005;0.043;0.018;0.658;44.75;30.875;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-26;0.004;0.029;0.025;0.571;44.0;31.625;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-27;0.004;0.045;0.015;0.638;32.667;20.583;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-28;0.006;0.057;0.014;0.779;40.042;27.875;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-01;0.006;0.05;0.021;0.654;56.417;44.875;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-02;0.003;0.021;0.031;0.408;32.625;22.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-03;0.007;0.042;0.018;0.817;42.958;31.042;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-03-04;0.005;0.052;0.016;0.846;50.042;36.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
